OBJECTID,Accela_ID,Park_ID,Type,Mstn_level,Acreage,Park_Name,Polygon_count,SHAPESTArea,SHAPESTLength
5538,Spring Harbor Beach,441N,MINI,CityPark_Mini,1.44000006,Spring Harbor Beach Park,1,62891.3251342773,1688.49625003288
5539,Dickinson St (So) Street End,128T,TRAFFICWAY,CityPark_Trafficway,0.09,Dickinson Street (South) Street End,1,4093.16839599609,256.810702599034
5540,Sherwood Forest Park,569N,MINI,CityPark_Mini,1.40999997,Sherwood Forest Park,1,61448.6540527344,1347.33619119002
5541,Midtown Commons Park,783A,NEIGHBORHOOD,CityPark_Neighborhood,10.30000019,Midtown Commons Park,1,448854.742492676,3321.19002162653
5542,Swallowtail Park,771N,MINI,CityPark_Mini,3.50999999,Swallowtail Park,1,153017.410491943,1535.06467445176
5543,Bear Mound Park,111S,OPEN SPACE,CityPark_OpenSpace,1.60000002,Bear Mound Park,1,69898.7104492188,953.256997012361
5544,Bitzer Family Preserve,989E,CONSERVATION,CityPark_Conservation,8.28999996,Bitzer Family Preserve,1,361008.700195312,2407.35112942204
5545,Bernie's Beach,107N,MINI,CityPark_Mini,1.16999996,Bernies Beach Park,1,50802.7732543945,1090.21183972493
5546,Pumping Station 8,225S,OTHER,CityPark_Other,0.62,Pumping Station 8,1,26934.7145996094,655.460535273917
5547,Sauk Creek Park,667N,NEIGHBORHOOD,CityPark_Neighborhood,4.21000004,Sauk Creek Park,1,183181.766998291,1772.95958292063
5548,Stevens Street Playground,269N,MINI,CityPark_Mini,0.41999999,Stevens Street Park,1,18491.3489990234,842.812462395558
5549,Filene Park,118P,MINI,CityPark_Mini,0.76999998,Filene Park,1,33738.0953674316,743.13725742401
5550,Hill Creek Park,985A,NEIGHBORHOOD,CityPark_Neighborhood,24.68000031,Hill Creek Park,1,1075420.29946899,6093.20584215633
5551,Westhaven Trails Park,715A,NEIGHBORHOOD,CityPark_Neighborhood,5.55000019,Westhaven Trails Park,1,241824.596466064,2838.66417713151
5552,Nautilus Point Park,555N,MINI,CityPark_Mini,4.82999992,Nautilus Point Park,1,210525.582275391,2155.32816757573
5553,Badger Park,247N,MINI,CityPark_Mini,1.77999997,Badger Park,1,77400.3197937012,1072.51315247303
5554,Meadow Ridge Park,484A,NEIGHBORHOOD,CityPark_Neighborhood,18.12999916,Meadow Ridge Park,1,789780.346832275,3883.05132327685
5555,Marshall Park,533C,COMMUNITY,CityPark_Community,37.06999969,Marshall Park,1,1614842.99673462,6918.1417534348
5556,Highland Manor Park,307N,NEIGHBORHOOD,CityPark_Neighborhood,4.65999985,Highland Manor Park,1,202904.155578613,3818.09626853478
5557,Heritage Heights Park,416N,NEIGHBORHOOD,CityPark_Neighborhood,8.10999966,Heritage Heights Park,1,353192.856231689,2471.99647800722
5558,Lucy Lincoln Hiestand Park,683N,NEIGHBORHOOD,CityPark_Neighborhood,12.43999958,Lucy Lincoln Hiestand Park,1,541968.579803467,5033.15969633707
5559,Glen Oak Hills Park,445N,NEIGHBORHOOD,CityPark_Neighborhood,7.71999979,Glen Oak Hills Park,1,336448.453277588,2924.58417202264
5560,Lost Creek Open Space,576P,MINI,CityPark_Mini,1.25,Lost Creek Park,1,54544.7534179688,1775.47964503421
5561,Greentree - Chapel Hills Park,681N,NEIGHBORHOOD,CityPark_Neighborhood,38.97000122,Greentree - Chapel Hills Park,1,1697638.64968872,9523.1219568143
5562,Nesbitt Open Space,737P,OPEN SPACE,CityPark_OpenSpace,4.86000013,Nesbitt Open Space,1,211585.050689697,5273.58255247873
5563,Everglade Park,559N,MINI,CityPark_Mini,3.67000008,Everglade Park,1,159852.647491455,1697.17719512332
5564,Elver Park,679C,COMMUNITY,CityPark_Community,250.82000732,Elver Park,1,10925452.2757874,21290.6244264015
5565,Northeast Park,792N,COMMUNITY,CityPark_Community,237.75999451,Northeast Park,1,10356888.3777466,15714.2942906192
5566,Sugar Maple Park,981N,MINI,CityPark_Mini,2.27999997,Sugar Maple Park,1,99326.8989562988,1382.58910057319
5567,Newbery Park,787N,MINI,CityPark_Mini,2.13000011,Newbery Park,1,92585.8631591797,1208.47822159931
5568,Glenwood Park,387N,MINI,CityPark_Mini,2.8900001,Glenwood Park,1,125797.813079834,2136.63155929265
5569,Kestrel Park,987N,MINI,CityPark_Mini,2.16000009,Kestrel Park,1,94330.0104980469,1207.0904718189
5570,Waldorf Park,779N,MINI,CityPark_Mini,1.78999996,Waldorf Park,1,78185.6053161621,1093.70025289904
5571,Fisher Street Playground,129N,MINI,CityPark_Mini,0.30000001,Fisher Street Park,1,13232.5227355957,474.981584285674
5572,Patriot Park,698A,NEIGHBORHOOD,CityPark_Neighborhood,5.40999985,Patriot Park,1,235582.907226562,2082.30313817073
5573,Lakeland-Schiller Triangle,242T,MINI,CityPark_Mini,0.09,Lakeland-Schiller Triangle Park,1,4029.72372436523,312.391117624136
5574,Portland Park,310N,MINI,CityPark_Mini,3.41000009,Portland Park,1,148328.891204834,2405.83363033658
5575,Marlborough Park,415A,NEIGHBORHOOD,CityPark_Neighborhood,20.40999985,Marlborough Park,1,889140.885955811,4347.86036788622
5576,Hammersley Park,573N,MINI,CityPark_Mini,3.13000011,Hammersley Park,1,136191.601989746,1560.19986114356
5577,Lake Edge Park,352N,NEIGHBORHOOD,CityPark_Neighborhood,5,Lake Edge Park,1,217619.060211182,2345.23107219908
5578,Dudgeon School Park,251N,MINI,CityPark_Mini,1.63999999,Dudgeon School Park,1,71542.7437438965,1555.99422227251
5579,Reston Heights Park,624N,NEIGHBORHOOD,CityPark_Neighborhood,4.53000021,Reston Heights Park,1,197406.503356934,1839.8966663228
5580,Nakoma Park,391N,NEIGHBORHOOD,CityPark_Neighborhood,5.21000004,Nakoma Park,1,226792.044067383,2404.79226191238
5581,Pennsylvania Parkway,120P,MINI,CityPark_Mini,0.77999997,Pennsylvania Park,1,33807.2149353027,1137.77244473382
5582,Turville Point Conserv Park,123E,CONSERVATION,CityPark_Conservation,64.27999878,Turville Point Conservation Park,1,2800125.5111084,8049.91097148877
5583,Indian Springs Park,343P,OPEN SPACE,CityPark_OpenSpace,10.84000015,Indian Springs Park,1,472347.995147705,3306.05569118258
5584,Reservoir Park,277N,MINI,CityPark_Mini,3.8900001,Reservoir Park,1,169459.939331055,1659.6672020925
5585,Woods Farm Park,682N,NEIGHBORHOOD,CityPark_Neighborhood,4.76000023,Woods Farm Park,1,207158.841247559,1828.05066643257
5586,Flad Park,495N,MINI,CityPark_Mini,2.75999999,Flad Park,1,120362.382904053,1487.0834411406
5587,Worthington Park,336N,NEIGHBORHOOD,CityPark_Neighborhood,5.09000015,Worthington Park,1,221899.979949951,1910.84937094463
5588,Demetral Field,228C,COMMUNITY,CityPark_Community,49.18000031,Demetral Park,1,2142462.32919312,9692.39649059515
5589,Cherokee Marsh - North Unit,680E,CONSERVATION,CityPark_Conservation,946.58001709,Cherokee Marsh - North Unit,1,41232665.4547119,64245.3139921962
5590,Burrows Park,226A,NEIGHBORHOOD,CityPark_Neighborhood,10.56000042,Burrows Park,1,460081.322967529,3903.10152985309
5591,Acer Park,983N,NEIGHBORHOOD,CityPark_Neighborhood,8.01000023,Acer Park,1,348927.56842041,2730.63842009672
5592,Period Gardens,018P,OPEN SPACE,CityPark_OpenSpace,0.25,Period Gardens,1,10982.3921813965,529.535264162288
5593,Sherry (O.B.) Park,342N,NEIGHBORHOOD,CityPark_Neighborhood,7.96999979,Sherry (O.B.) Park,1,347211.516357422,2488.43783363251
5594,Peace (Elizabeth Link) Park,007P,MINI,CityPark_Mini,0.37,Peace (Elizabeth Link) Park,1,16226.5663146973,614.525111570562
5595,Churchill Heights Park,694N,MINI,CityPark_Mini,3.02999997,Churchill Heights Park,1,132153.559082031,1538.02988241929
5596,Breese Stevens Athletic Field,004C,SPORTS COMPLEX,CityPark_SportsComplex,4.53000021,Breese Stevens Athletic Field,1,197494.271972656,1855.74157188459
5597,Town Center Park,528N,MINI,CityPark_Mini,2.46000004,Town Center Park,1,107249.270721436,1464.51971365416
5598,Walnut Grove Park,663A,NEIGHBORHOOD,CityPark_Neighborhood,20.25,Walnut Grove Park,1,882002.869384766,4505.69019735399
5599,Reynolds Field,002N,MINI,CityPark_Mini,3.57999992,Reynolds Park,1,156001.452484131,1712.48388538223
5600,Wexford Park,611A,NEIGHBORHOOD,CityPark_Neighborhood,20.60000038,Wexford Park,1,897478.5703125,3774.45933879107
5601,Lederberg Park,793N,MINI,CityPark_Mini,1.09000003,Lederberg Park,1,47525.0329284668,940.774562877328
5602,Orlando Bell Park,438A,NEIGHBORHOOD,CityPark_Neighborhood,13.10000038,Orlando Bell Park,1,570703.42855835,4386.81664383359
5603,Starkweather Marsh,346E,CONSERVATION,CityPark_Conservation,13.93000031,Starkweather Park,1,606749.463897705,7407.87265918335
5604,Sheridan Triangle Park,364N,MINI,CityPark_Mini,0.15000001,Sheridan Triangle Park,1,6584.19708251953,432.733461942523
5605,Merrill Springs Park,421P,MINI,CityPark_Mini,0.69999999,Merrill Springs Park,1,30554.5721740723,694.479036198568
5606,McCormick Park,334G,MINI,CityPark_Mini,0.38,McCormick Park,1,16539.0983886719,653.933103108582
5607,Ocean Road Park,243N,MINI,CityPark_Mini,0.95999998,Ocean Road Park,1,41815.7678833008,957.192187758521
5608,Allied Park,489N,MINI,CityPark_Mini,1.22000003,Allied Park,1,52931.9326477051,960.766099883474
5609,Monona Bay Open Spaces,119T,TRAFFICWAY,CityPark_Trafficway,0.66000003,Monona Bay Open Spaces,1,28887.0346984863,1422.19144422646
5610,Quarry Park,271P,OPEN SPACE,CityPark_OpenSpace,16.88999939,Quarry Park,1,735928.797088623,3788.20217431419
5611,Old Middleton Road Open Space,451P,MINI,CityPark_Mini,0.51999998,Old Middleton Road Park,1,22844.4477233887,891.958118716704
5612,Knollwood Conservation Park,463E,CONSERVATION,CityPark_Conservation,14.78999996,Knollwood Conservation Park,1,644149.375061035,7944.8862577764
5613,Olbrich Park,244C,COMMUNITY,CityPark_Community,90.01000214,Olbrich Park,1,3920744.30886841,19893.8012292633
5614,Hiawatha Circle,393T,MINI,CityPark_Mini,1.30999994,Hiawatha Circle Park,1,57228.8258972168,1070.62248239191
5615,Yahara Hills Open Space(South),634P2,COMMUNITY,CityPark_Community,43.59000015,Yahara Hills Park (South),1,1898884.56930542,5611.75700163253
5616,Galaxy Park,520N,MINI,CityPark_Mini,3.47000003,Galaxy Park,1,150944.719970703,1787.96820118726
5617,Sauk Heights Park,875A,NEIGHBORHOOD,CityPark_Neighborhood,4.5999999,Sauk Heights Park,1,200470.896270752,2108.13813355061
5618,Orton Park,114N,MINI,CityPark_Mini,3.57999992,Orton Park,1,156086.664245605,1712.83607641433
5619,Sandstone Park,731N,NEIGHBORHOOD,CityPark_Neighborhood,6.53999996,Sandstone Park,1,284819.705780029,2420.5058972301
5620,Aldo Leopold Park,367A,NEIGHBORHOOD,CityPark_Neighborhood,11.09000015,Aldo Leopold Park,1,482988.25869751,3443.5383096752
5621,Kettle Pond,435E,CONSERVATION,CityPark_Conservation,8.06000042,Kettle Pond,1,351100.145477295,2693.98834310176
5622,Beld Triangle,133T,MINI,CityPark_Mini,0.12,Beld Triangle Park,1,5164.04165649414,402.928070174676
5623,Dixon Open Space,234P,OPEN SPACE,CityPark_OpenSpace,3.1500001,Dixon Open Space,1,137329.116516113,1878.39607381535
5624,Penn Park,233A,NEIGHBORHOOD,CityPark_Neighborhood,7.3499999,Penn Park,1,321058.209472656,2421.75787386561
5625,Westmorland Park,385A,NEIGHBORHOOD,CityPark_Neighborhood,11.68999958,Westmorland Park,1,509230.723388672,2924.15993114234
5626,Apple Ridge Open Space,735P,OPEN SPACE,CityPark_OpenSpace,11.98999977,Apple Ridge Park,1,521710.259552002,3839.63370630044
5627,McFarland Park,578P,MINI,CityPark_Mini,0.17,McFarland Park,1,7419.67251586914,413.832930840594
5628,Tenney Park,108C,COMMUNITY,CityPark_Community,38.11999893,Tenney Park,1,1660495.79519653,14356.6030583252
5629,Proudfit Open Space,009P,MINI,CityPark_Mini,0.56,Proudfit Park,1,24345.0050048828,962.386221301094
5630,Mandan Circle,397T,MINI,CityPark_Mini,0.22,Mandan Circle Park,1,9443.07235717773,352.945333340515
5631,Wirth Court Park,240N,MINI,CityPark_Mini,1.85000002,Wirth Court Park,1,80541.3735351562,1511.72169648495
5632,James Madison Park,000A,COMMUNITY,CityPark_Community,12.63000011,James Madison Park,1,550119.716491699,5405.65870679256
5633,Hollister Avenue Triangle,255P,OPEN SPACE,CityPark_OpenSpace,0.22,Hollister Avenue Triangle Park,1,9623.02990722656,516.152070669278
5634,Yahara Hills Open Space (West),634P1,COMMUNITY,CityPark_Community,82.19999695,Yahara Hills Park (West),1,3580811.47598267,9652.35820957296
5635,Hampton Court,449P,MINI,CityPark_Mini,0.1,Hampton Court Park,1,4546.07550048828,284.960163696831
5636,Eastmorland Park,350N,NEIGHBORHOOD,CityPark_Neighborhood,13.81000042,Eastmorland Park,1,601542.331573486,6169.44740556204
5637,Raemisch Homestead Park,713N,MINI,CityPark_Mini,4.05000019,Raemisch Homestead Park,1,176629.924835205,1619.44014666574
5638,Moraine Woods Conserv Park,993E,CONSERVATION,CityPark_Conservation,38.40999985,Moraine Woods Conservation Park,1,1673314.68893433,5175.91672840113
5639,Droster Park,426N,NEIGHBORHOOD,CityPark_Neighborhood,10.01000023,Droster Park,1,436078.614379883,4825.5623432787
5640,Camelot Open Space,531P,OPEN SPACE,CityPark_OpenSpace,0.55000001,Camelot Open Space,1,23933.7523193359,849.842792945244
5641,Brentwood Park,366N,MINI,CityPark_Mini,1.97000003,Brentwood Park,1,85727.2738647461,1464.29330299311
5642,Windom Way Park,394N,MINI,CityPark_Mini,2.83999991,Windom Way Park,1,123554.743408203,1567.91380229758
5643,Birchwood Point Park,991N,MINI,CityPark_Mini,4.21999979,Birchwood Point Park,1,183743.476867676,2108.84823640319
5644,Cypress Spray Park,229S,SPECIAL,CityPark_Special_Other,0.66000003,Cypress Spray Park,1,28534.9218444824,702.012671909457
5645,Odana Hills Park,401A,NEIGHBORHOOD,CityPark_Neighborhood,12.78999996,Odana Hills Park,1,556909.477172852,4101.07446307494
5646,Olin - Turville Park,123C,COMMUNITY,CityPark_Community,47.11999893,Olin Park,1,2052345.13980103,11734.0961722665
5647,Britta Parkway,497T1,MINI,CityPark_Mini,1.60000002,Britta Park,1,69863.8818359375,1458.11497915523
5648,Blount St (South) Street End,014T,TRAFFICWAY,CityPark_Trafficway,0.1,Blount Street (South) Street End,1,4385.29296875,265.134659105478
5649,Bordner Park,443N,NEIGHBORHOOD,CityPark_Neighborhood,6.46999979,Bordner Park,1,281769.289611816,4001.77155281697
5650,Hudson Park,242P,MINI,CityPark_Mini,4.75,Hudson Park,1,206866.618896484,5671.23542707339
5651,Brearly St (South) Street End,022T,TRAFFICWAY,CityPark_Trafficway,0.12,Brearly Street (South) Street End,1,5331.1091003418,297.171486781225
5652,Brigham Park,462N,MINI,CityPark_Mini,3.36999989,Brigham Park,1,146805.093383789,1678.27198204967
5653,Highlands East,539P,OPEN SPACE,CityPark_OpenSpace,4.07999992,Highlands East,1,177655.242889404,1701.75850987892
5654,Hiestand Park,406A,COMMUNITY,CityPark_Community,46.27000046,Hiestand Park,1,2015575.34347534,6786.36237673325
5655,Quann Park,127C,COMMUNITY,CityPark_Community,55.43000031,Quann Park,1,2414666.14315796,8705.40849851941
5656,High Crossing Park,696N,NEIGHBORHOOD,CityPark_Neighborhood,5.73999977,High Crossing Park,1,250072.612030029,2086.68805803821
5657,Pilgrim Park,585N,NEIGHBORHOOD,CityPark_Neighborhood,18.90999985,Pilgrim Park,1,823759.545898438,6473.68503653789
5658,Oak Park Heights Park,409N,MINI,CityPark_Mini,1.13,Oak Park Heights Park,1,49405.9888305664,893.622756694739
5659,Kerr - McGee Triangle,008P,MINI,CityPark_Mini,0.14,Kerr - Mcgee Triangle Park,1,5921.85214233398,364.055671401384
5660,Waunona Park,239N,NEIGHBORHOOD,CityPark_Neighborhood,5.13000011,Waunona Park,1,223263.166320801,2093.27121968654
5661,Elvehjem Sanctuary,424E,CONSERVATION,CityPark_Conservation,11.61999989,Elvehjem Sanctuary,1,506207.329711914,5144.06596805567
5662,Rustic Parkway,309P,NEIGHBORHOOD,CityPark_Neighborhood,8.82999992,Rustic Park,1,384444.2081604,3167.86862503625
5663,Junction Ridge Park,769A,NEIGHBORHOOD,CityPark_Neighborhood,14.32999992,Junction Ridge Park,1,624418.727905273,3837.87366008874
5664,Odana Hills East Park,401N,MINI,CityPark_Mini,2.27999997,Odana Hills East Park,1,99410.9927368164,1335.61280911043
5665,Spring Harbor Park,441A,NEIGHBORHOOD,CityPark_Neighborhood,8.21000004,Spring Harbor Park,1,357595.987030029,3573.99717429255
5666,Ice Age Ridge Park,719N,MINI,CityPark_Mini,3.67000008,Ice Age Ridge Park,1,159810.761535645,1869.38632197049
5667,Meadowood Park,491N,MINI,CityPark_Mini,3.06999993,Meadowood Park,1,133626.452880859,1549.22244604657
5668,Eagle Trace Park,975N,NEIGHBORHOOD,CityPark_Neighborhood,9.36999989,Eagle Trace Park,1,408146.801696777,3281.30541739405
5669,Indian Hills Park,419N,MINI,CityPark_Mini,2.56999993,Indian Hills Park,1,112142.117889404,1365.93075825989
5670,Garner Park,447C,COMMUNITY,CityPark_Community,41.83000183,Garner Park,1,1822204.61074829,5433.7255747581
5671,Capital Avenue Street End,439T,TRAFFICWAY,CityPark_Trafficway,0.2,Capital Avenue Street End,1,8885.40756225586,403.25667506994
5672,Ingersoll St (So) Street End,122T,TRAFFICWAY,CityPark_Trafficway,0.12,Ingersoll Street (South) Street End,1,5285.70266723633,291.876913157751
